artifact_id,artifact_type,artifact_version,artifact_path,registered_sha256,actual_sha256,hash_status,run_id,partition,status
phase8_synthetic_support_lstm_smoke_v1:checkpoint,model_checkpoint,historical_synthetic_checkpoint_v1,artifacts/smoke/phase8_synthetic_support_lstm_v1/organ_support_lstm_smoke.pt,4973b6cd58e23fff36fae47a86d5a4ae921ca70e6dc307f600c60206e875db0a,4973b6cd58e23fff36fae47a86d5a4ae921ca70e6dc307f600c60206e875db0a,MATCH,phase8_synthetic_support_lstm_smoke_v1,,registered
phase8_synthetic_support_lstm_smoke_v1:metrics,metric_table,historical_synthetic_metrics_v1,artifacts/smoke/phase8_synthetic_support_lstm_v1/smoke_metrics.json,49aa8c19fbe7946470c54a371bd54f463682ceb3705b4e0f1fc2577b44f3088a,49aa8c19fbe7946470c54a371bd54f463682ceb3705b4e0f1fc2577b44f3088a,MATCH,phase8_synthetic_support_lstm_smoke_v1,,legacy_incomplete
phase18:data_acceptance:3a7ad8edee17a4d1,data_acceptance_report,real_data_acceptance_v1,artifacts/data_acceptance/history/real_data_acceptance_v1_3a7ad8edee17a4d1.json,3a7ad8edee17a4d1844e82695498ca41e93818924828c18a3a9690a7523b93b4,3a7ad8edee17a4d1844e82695498ca41e93818924828c18a3a9690a7523b93b4,MATCH,,,registered
phase19:preflight:9ef7432dd17456db,validation_preflight_report,phase19_preflight_v1,artifacts/validation/history/phase19_preflight_v1_9ef7432dd17456db.json,9ef7432dd17456dba76130b989ddf104ce86918f32fce270efd693bdb7c0dffa,9ef7432dd17456dba76130b989ddf104ce86918f32fce270efd693bdb7c0dffa,MATCH,,,registered
phase20:pretest:56e271a598a3e909,final_test_preflight_report,phase20_pretest_audit_v1,artifacts/governance/history/phase20_pretest_audit_v1_56e271a598a3e909.json,56e271a598a3e909feedcdf17437467707fd099b5a8bf5fa2833296a777f76e7,56e271a598a3e909feedcdf17437467707fd099b5a8bf5fa2833296a777f76e7,MATCH,,,registered
phase20:pretest:1faa7c439d217f23,final_test_preflight_report,phase20_pretest_audit_v1,artifacts/governance/history/phase20_pretest_audit_v1_1faa7c439d217f23.json,1faa7c439d217f23d8c9c1568819242006beeba6363c93d0df6f9025454c1ca0,1faa7c439d217f23d8c9c1568819242006beeba6363c93d0df6f9025454c1ca0,MATCH,,,registered
phase21:manifest:8aae142a0a3d48cb,reproduction_manifest,reproducibility_v1,artifacts/reproducibility/reproduction_manifest_v1.json,8aae142a0a3d48cb3211c786d7d35e73c8e6e0c390a01a18be41c2e202843960,8aae142a0a3d48cb3211c786d7d35e73c8e6e0c390a01a18be41c2e202843960,MATCH,,,registered
phase21:report:714d84bce5abdd29,reproduction_report,reproducibility_v1,artifacts/reproducibility/reproduction_report_v1.json,714d84bce5abdd29c3132bddad5731f9a410f6e0cd9e4f75e398f0fcbb5d1110,714d84bce5abdd29c3132bddad5731f9a410f6e0cd9e4f75e398f0fcbb5d1110,MATCH,,,registered
phase21:cross_member:fe4bb7f7700f2464,cross_member_reproduction_status,reproducibility_v1,artifacts/reproducibility/cross_member_reproduction_v1.json,fe4bb7f7700f2464b1ca9a754144e81d703fa4483de55e76956ccda1bbe14839,fe4bb7f7700f2464b1ca9a754144e81d703fa4483de55e76956ccda1bbe14839,MATCH,,,registered
phase4_support:event_dictionary:v1,event_dictionary,event_dict_v1,configs/event_dict_v1.yaml,717f6183ad8014602b3cc32eeaa3a810eab8a26a19937bda8e214200bb2f9620,717f6183ad8014602b3cc32eeaa3a810eab8a26a19937bda8e214200bb2f9620,MATCH,,,registered
phase4_support:real_freeze_blocked_audit:v1,support_endpoint_freeze_audit,support_endpoint_freeze_record_v1,artifacts/labels/support_endpoint_freeze_v1.json,f2b90e23806f98d068b284eb7348b57193d18cc93cdd00b9429cb005bfdbeba8,f2b90e23806f98d068b284eb7348b57193d18cc93cdd00b9429cb005bfdbeba8,MATCH,,,registered
phase4_support:synthetic_freeze:v1,support_endpoint_freeze,support_endpoint_freeze_record_v1,artifacts/labels/synthetic/support_endpoint_freeze_synthetic_v1.json,8124d4d74246d2b24643e5c85f1f763fca84d3832c63176b55565f4ba31464e6,8124d4d74246d2b24643e5c85f1f763fca84d3832c63176b55565f4ba31464e6,MATCH,,synthetic,registered
phase4_support:synthetic_labels:v1,support_label_artifact,support_label_artifact_v1,artifacts/labels/synthetic/support_labels_phase4_synthetic_v1.json,e3cd7c28f08f5c762348cc17389fcdfbf2436111b45cefbfd27b5fabe0868cd0,e3cd7c28f08f5c762348cc17389fcdfbf2436111b45cefbfd27b5fabe0868cd0,MATCH,,synthetic,registered
phase4_support:synthetic_prevalence:v1,support_prevalence_report,support_prevalence_raw_counts_v1,artifacts/labels/synthetic/support_prevalence_synthetic_v1.json,88bc645e88a541f5dce9775ff595ad330bbebbf1f529992ebccf08cca6474e58,88bc645e88a541f5dce9775ff595ad330bbebbf1f529992ebccf08cca6474e58,MATCH,,synthetic,registered
real_split,required_real_artifact,,artifacts/splits/split_v1.csv,,,BLOCKED_SOURCE_ARTIFACT_REQUIRED,,,BLOCKED
selected_models,required_real_artifact,,artifacts/models/selected_models_v1.json,,,BLOCKED_SOURCE_ARTIFACT_REQUIRED,,,BLOCKED
g3,required_real_artifact,,artifacts/governance/g3_freeze.json,,,BLOCKED_SOURCE_ARTIFACT_REQUIRED,,,BLOCKED
g4,required_real_artifact,,artifacts/governance/g4_evaluation_freeze.json,,,BLOCKED_SOURCE_ARTIFACT_REQUIRED,,,BLOCKED
